protocol, transport, type, dst_port, src_ip, src_port, timestamp
smbd, tcp, accept, 445, 62.74.213.178, 3948, 2022-05-07T15:11:39.778064,
smbd, tcp, accept, 445, 62.74.213.178, 3988, 2022-05-07T15:11:40.607950,
smbd, tcp, accept, 445, 62.74.213.178, 4067, 2022-05-07T15:11:42.095202,
smbd, tcp, accept, 445, 62.74.213.178, 4091, 2022-05-07T15:11:42.781447,
smbd, tcp, accept, 445, 62.74.213.178, 4137, 2022-05-07T15:11:43.385039,
smbd, tcp, accept, 445, 62.74.213.178, 4162, 2022-05-07T15:11:44.151263,
smbd, tcp, accept, 445, 62.74.213.178, 4189, 2022-05-07T15:11:44.825979,
smbd, tcp, accept, 445, 62.74.213.178, 4240, 2022-05-07T15:11:46.283381,
smbd, tcp, accept, 445, 62.74.213.178, 4283, 2022-05-07T15:11:46.871108,
smbd, tcp, accept, 445, 62.74.213.178, 4300, 2022-05-07T15:11:47.596127,
smbd, tcp, accept, 445, 62.74.213.178, 4332, 2022-05-07T15:11:48.391537,
smbd, tcp, accept, 445, 62.74.213.178, 4372, 2022-05-07T15:11:49.856317,
smbd, tcp, accept, 445, 62.74.213.178, 4400, 2022-05-07T15:11:50.450462,
smbd, tcp, accept, 445, 62.74.213.178, 4431, 2022-05-07T15:11:51.100301,
smbd, tcp, accept, 445, 62.74.213.178, 4479, 2022-05-07T15:11:51.691624,
smbd, tcp, accept, 445, 62.74.213.178, 4526, 2022-05-07T15:11:53.053488,
smbd, tcp, accept, 445, 62.74.213.178, 4554, 2022-05-07T15:11:53.719164,
smbd, tcp, accept, 445, 62.74.213.178, 4576, 2022-05-07T15:11:54.437251,
smbd, tcp, accept, 445, 62.74.213.178, 4604, 2022-05-07T15:11:55.028829,
smbd, tcp, accept, 445, 62.74.213.178, 4632, 2022-05-07T15:11:55.756785,
smbd, tcp, accept, 445, 62.74.213.178, 3990, 2022-05-07T15:09:59.258514,
smbd, tcp, accept, 445, 62.74.213.178, 4677, 2022-05-07T15:11:57.029189,
smbd, tcp, accept, 445, 62.74.213.178, 4705, 2022-05-07T15:11:57.724993,
smbd, tcp, accept, 445, 62.74.213.178, 4753, 2022-05-07T15:11:59.263770,
smbd, tcp, accept, 445, 62.74.213.178, 4729, 2022-05-07T15:11:58.413054,
smbd, tcp, accept, 445, 62.74.213.178, 4803, 2022-05-07T15:12:00.576401,
smbd, tcp, accept, 445, 62.74.213.178, 4835, 2022-05-07T15:12:01.203116,
smbd, tcp, accept, 445, 62.74.213.178, 4864, 2022-05-07T15:12:01.935461,
smbd, tcp, accept, 445, 62.74.213.178, 4887, 2022-05-07T15:12:02.679829,
smbd, tcp, accept, 445, 62.74.213.178, 4937, 2022-05-07T15:12:04.012021,
smbd, tcp, accept, 445, 62.74.213.178, 4963, 2022-05-07T15:12:04.597187,
smbd, tcp, accept, 445, 62.74.213.178, 4985, 2022-05-07T15:12:05.262271,
smbd, tcp, accept, 445, 62.74.213.178, 1034, 2022-05-07T15:12:06.062109,
smbd, tcp, accept, 445, 62.74.213.178, 1059, 2022-05-07T15:12:06.687695,
smbd, tcp, accept, 445, 62.74.213.178, 3577, 2022-05-07T15:11:29.641452,
smbd, tcp, accept, 445, 62.74.213.178, 3754, 2022-05-07T15:11:33.956288,
smbd, tcp, accept, 445, 62.74.213.178, 3897, 2022-05-07T15:11:38.369972,
smbd, tcp, accept, 445, 62.74.213.178, 4030, 2022-05-07T15:11:41.334369,
smbd, tcp, accept, 445, 62.74.213.178, 4210, 2022-05-07T15:11:45.523175,
smbd, tcp, accept, 445, 62.74.213.178, 4352, 2022-05-07T15:11:49.109577,
smbd, tcp, accept, 445, 62.74.213.178, 4502, 2022-05-07T15:11:52.392992,
smbd, tcp, accept, 445, 62.74.213.178, 4778, 2022-05-07T15:11:59.851034,
smbd, tcp, accept, 445, 62.74.213.178, 4917, 2022-05-07T15:12:03.306631,
smbd, tcp, accept, 445, 62.74.213.178, 1080, 2022-05-07T15:12:07.370710,
smbd, tcp, accept, 445, 62.74.213.178, 1126, 2022-05-07T15:12:08.711409,
smbd, tcp, accept, 445, 62.74.213.178, 1173, 2022-05-07T15:12:09.998609,
smbd, tcp, accept, 445, 62.74.213.178, 4659, 2022-05-07T15:11:56.345115,
smbd, tcp, accept, 445, 62.74.213.178, 1149, 2022-05-07T15:12:09.366826,
smbd, tcp, accept, 445, 62.74.213.178, 1106, 2022-05-07T15:12:08.043688,
smbd, tcp, accept, 445, 62.74.213.178, 1231, 2022-05-07T15:12:11.358476,
smbd, tcp, accept, 445, 62.74.213.178, 1261, 2022-05-07T15:12:12.101459,
smbd, tcp, accept, 445, 62.74.213.178, 1284, 2022-05-07T15:12:12.786507,
smbd, tcp, accept, 445, 62.74.213.178, 1307, 2022-05-07T15:12:13.447210,
smbd, tcp, accept, 445, 62.74.213.178, 1350, 2022-05-07T15:12:14.865523,
smbd, tcp, accept, 445, 62.74.213.178, 1370, 2022-05-07T15:12:15.544295,
smbd, tcp, accept, 445, 62.74.213.178, 1395, 2022-05-07T15:12:16.153301,
smbd, tcp, accept, 445, 62.74.213.178, 1418, 2022-05-07T15:12:16.820636,
smbd, tcp, accept, 445, 62.74.213.178, 1441, 2022-05-07T15:12:17.423367,
smbd, tcp, accept, 445, 62.74.213.178, 1498, 2022-05-07T15:12:18.829023,
smbd, tcp, accept, 445, 62.74.213.178, 1526, 2022-05-07T15:12:19.576866,
smbd, tcp, accept, 445, 62.74.213.178, 1551, 2022-05-07T15:12:20.162577,
smbd, tcp, accept, 445, 62.74.213.178, 1580, 2022-05-07T15:12:20.840773,
smbd, tcp, accept, 445, 62.74.213.178, 1605, 2022-05-07T15:12:21.543794,
smbd, tcp, accept, 445, 62.74.213.178, 1657, 2022-05-07T15:12:22.908957,
smbd, tcp, accept, 445, 62.74.213.178, 1684, 2022-05-07T15:12:23.629943,
smbd, tcp, accept, 445, 62.74.213.178, 1713, 2022-05-07T15:12:24.296782,
smbd, tcp, accept, 445, 62.74.213.178, 1746, 2022-05-07T15:12:25.189904,
smbd, tcp, accept, 445, 62.74.213.178, 1764, 2022-05-07T15:12:25.786177,
